Change Managed Component Library Link : Designator=C4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=5660882B-150B-4094-87BA-B5EF54490023 New ItemGUID=AABD9198-7064-4B21-8A6F-CFB2508A0683 Old RevisionGUID=E0EE8E1E-84A2-45AE-A25A-81BF0C559E93 New RevisionGUID=5F75CA00-5564-491C-8766-AE706C525318
Change component parameters: Designator = "C4" ("C4"); Footprint = "VISH-TR8-M_L"; UniqueID = "\ZYZYNMZU" ("\ZYZYNMZU")
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "Polar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Depth (mm)"; Value = "4.3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Diameter (mm)"; Value = "NotRequiredmm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Height (mm)"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Product Length (mm)"; Value = "7.3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rad Hardened"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Seal"; Value = "NotRequired"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Seated Plane Height"; Value = "NotRequiredmm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance (+ or -)"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50VDC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wire Form"; Value = "NotRequired"; VariantName = "[No Variations]"
Added Member To Class: ClassName=Sheet1 Member=Component C? 293D106X9050E2TE3
